frame60,ms,ring1InsetFraction,ring1Opacity,ring2InsetFraction,ring2Opacity,boundaryOpacity,reducedBoundaryOpacity
206,3433.3333,0.1,0,0.1,0,0.078672,0.06
207,3450.0,0.1,0,0.1,0,0.078478,0.06
208,3466.6667,0.1,0,0.1,0,0.078271,0.06
209,3483.3333,0.1,0,0.1,0,0.078052,0.06
210,3500.0,0.1,0,0.1,0,0.07782,0.06
211,3516.6667,0.1,0,0.1,0,0.077576,0.06
212,3533.3333,0.1,0,0.1,0,0.077321,0.06
213,3550.0,0.1,0,0.1,0,0.077053,0.06
214,3566.6667,0.1,0,0.1,0,0.076773,0.06
215,3583.3333,0.1,0,0.1,0,0.076483,0.06
216,3600.0,0.1,0,0.1,0,0.07618,0.06
217,3616.6667,0.1,0,0.1,0,0.075867,0.06
218,3633.3333,0.1,0,0.1,0,0.075543,0.06
219,3650.0,0.1,0,0.1,0,0.075208,0.06
220,3666.6667,0.1,0,0.1,0,0.074863,0.06
221,3683.3333,0.1,0,0.1,0,0.074507,0.06
222,3700.0,0.1,0,0.1,0,0.074142,0.06
223,3716.6667,0.1,0,0.1,0,0.073767,0.06
224,3733.3333,0.1,0,0.1,0,0.073383,0.06
225,3750.0,0.1,0,0.1,0,0.072989,0.06
226,3766.6667,0.1,0,0.1,0,0.072586,0.06
227,3783.3333,0.1,0,0.1,0,0.072175,0.06
228,3800.0,0.1,0,0.1,0,0.071756,0.06
229,3816.6667,0.1,0,0.1,0,0.071328,0.06
230,3833.3333,0.1,0,0.1,0,0.070893,0.06
231,3850.0,0.1,0,0.1,0,0.07045,0.06
232,3866.6667,0.1,0,0.1,0,0.07,0.06
233,3883.3333,0.1,0,0.1,0,0.069543,0.06
234,3900.0,0.1,0,0.1,0,0.06908,0.06
235,3916.6667,0.1,0,0.1,0,0.06861,0.06
236,3933.3333,0.1,0,0.1,0,0.068135,0.06
237,3950.0,0.1,0,0.1,0,0.067654,0.06
238,3966.6667,0.1,0,0.1,0,0.067167,0.06
239,3983.3333,0.1,0,0.1,0,0.066676,0.06
240,4000.0,0.1,0,0.1,0,0.06618,0.06
241,4016.6667,0.1,0,0.1,0,0.06568,0.06
242,4033.3333,0.1,0,0.1,0,0.065176,0.06
243,4050.0,0.1,0,0.1,0,0.064669,0.06
244,4066.6667,0.1,0,0.1,0,0.064158,0.06
245,4083.3333,0.1,0,0.1,0,0.063645,0.06
246,4100.0,0.1,0,0.1,0,0.063129,0.06
247,4116.6667,0.1,0,0.1,0,0.062611,0.06
248,4133.3333,0.1,0,0.1,0,0.062091,0.06
249,4150.0,0.1,0,0.1,0,0.061569,0.06
250,4166.6667,0.1,0,0.1,0,0.061047,0.06
251,4183.3333,0.1,0,0.1,0,0.060524,0.06
252,4200.0,0.1,0,0.1,0,0.06,0.06
253,4216.6667,0.1,0,0.1,0,0.059476,0.06
254,4233.3333,0.1,0,0.1,0,0.058953,0.06
255,4250.0,0.1,0,0.1,0,0.058431,0.06
256,4266.6667,0.1,0,0.1,0,0.057909,0.06
257,4283.3333,0.1,0,0.1,0,0.057389,0.06
258,4300.0,0.1,0,0.1,0,0.056871,0.06
259,4316.6667,0.1,0,0.1,0,0.056355,0.06
260,4333.3333,0.1,0,0.1,0,0.055842,0.06
261,4350.0,0.1,0,0.1,0,0.055331,0.06
262,4366.6667,0.1,0,0.1,0,0.054824,0.06
263,4383.3333,0.1,0,0.1,0,0.05432,0.06
264,4400.0,0.1,0,0.1,0,0.05382,0.06
265,4416.6667,0.1,0,0.1,0,0.053324,0.06
266,4433.3333,0.1,0,0.1,0,0.052833,0.06
267,4450.0,0.1,0,0.1,0,0.052346,0.06
268,4466.6667,0.1,0,0.1,0,0.051865,0.06
269,4483.3333,0.1,0,0.1,0,0.05139,0.06
270,4500.0,0.1,0,0.1,0,0.05092,0.06
271,4516.6667,0.1,0,0.1,0,0.050457,0.06
272,4533.3333,0.1,0,0.1,0,0.05,0.06
273,4550.0,0.1,0,0.1,0,0.04955,0.06
274,4566.6667,0.1,0,0.1,0,0.049107,0.06
275,4583.3333,0.1,0,0.1,0,0.048672,0.06
276,4600.0,0.1,0,0.1,0,0.048244,0.06
277,4616.6667,0.1,0,0.1,0,0.047825,0.06
278,4633.3333,0.1,0,0.1,0,0.047414,0.06
279,4650.0,0.1,0,0.1,0,0.047011,0.06
280,4666.6667,0.1,0,0.1,0,0.046617,0.06
281,4683.3333,0.1,0,0.1,0,0.046233,0.06
282,4700.0,0.1,0,0.1,0,0.045858,0.06
283,4716.6667,0.1,0,0.1,0,0.045493,0.06
284,4733.3333,0.1,0,0.1,0,0.045137,0.06
285,4750.0,0.1,0,0.1,0,0.044792,0.06
286,4766.6667,0.1,0,0.1,0,0.044457,0.06
287,4783.3333,0.1,0,0.1,0,0.044133,0.06
288,4800.0,0.1,0,0.1,0,0.04382,0.06
289,4816.6667,0.1,0,0.1,0,0.043517,0.06
290,4833.3333,0.1,0,0.1,0,0.043227,0.06
291,4850.0,0.1,0,0.1,0,0.042947,0.06
292,4866.6667,0.1,0,0.1,0,0.042679,0.06
293,4883.3333,0.1,0,0.1,0,0.042424,0.06
294,4900.0,0.1,0,0.1,0,0.04218,0.06
295,4916.6667,0.1,0,0.1,0,0.041948,0.06
296,4933.3333,0.1,0,0.1,0,0.041729,0.06
297,4950.0,0.1,0,0.1,0,0.041522,0.06
298,4966.6667,0.1,0,0.1,0,0.041328,0.06
299,4983.3333,0.1,0,0.1,0,0.041147,0.06
300,5000.0,0.1,0,0.1,0,0.040979,0.06
301,5016.6667,0.1,0,0.1,0,0.040824,0.06
302,5033.3333,0.1,0,0.1,0,0.040681,0.06
303,5050.0,0.1,0,0.1,0,0.040553,0.06
304,5066.6667,0.1,0,0.1,0,0.040437,0.06
305,5083.3333,0.1,0,0.1,0,0.040335,0.06
306,5100.0,0.1,0,0.1,0,0.040246,0.06
307,5116.6667,0.1,0,0.1,0,0.040171,0.06
308,5133.3333,0.1,0,0.1,0,0.04011,0.06
309,5150.0,0.1,0,0.1,0,0.040062,0.06
310,5166.6667,0.1,0,0.1,0,0.040027,0.06
311,5183.3333,0.1,0,0.1,0,0.040007,0.06
312,5200.0,0.1,0,0.1,0,0.06,0.06
313,5216.6667,0.1,0,0.1,0,0.053333,0.053333
314,5233.3333,0.1,0,0.1,0,0.046667,0.046667
315,5250.0,0.1,0,0.1,0,0.04,0.04
316,5266.6667,0.1,0,0.1,0,0.033333,0.033333
317,5283.3333,0.1,0,0.1,0,0.026667,0.026667
318,5300.0,0.1,0,0.1,0,0.02,0.02
319,5316.6667,0.1,0,0.1,0,0.013333,0.013333
320,5333.3333,0.1,0,0.1,0,0.006667,0.006667
321,5350.0,0.1,0,0.1,0,0.0,0.0
322,5366.6667,0.1,0,0.1,0,0.0,0.0
323,5383.3333,0.1,0,0.1,0,0.0,0.0
324,5400.0,0.1,0,0.1,0,0.0,0.0
325,5416.6667,0.1,0,0.1,0,0.0,0.0
326,5433.3333,0.1,0,0.1,0,0.0,0.0
327,5450.0,0.1,0,0.1,0,0.0,0.0
328,5466.6667,0.1,0,0.1,0,0.0,0.0
329,5483.3333,0.1,0,0.1,0,0.0,0.0
